,,,,,hypervolume,hypervolume,hypervolume,hypervolume,spread,spread,spread,spread,execution_time,execution_time,execution_time,execution_time
,,,,,mean,std,min,max,mean,std,min,max,mean,std,min,max
problem,algorithm,num_islands,migration_rate,migration_interval,,,,,,,,,,,,
DTLZ2,drga,5,0.1,5,0.0,,0.0,0.0,0.0,,0.0,0.0,0.5468399524688721,,0.5468399524688721,0.5468399524688721
DTLZ2,drga,5,0.1,10,0.0,,0.0,0.0,0.35627250070636446,,0.35627250070636446,0.35627250070636446,0.29631567001342773,,0.29631567001342773,0.29631567001342773
DTLZ2,drga,5,0.2,5,0.0,,0.0,0.0,2.5037148159013696,,2.5037148159013696,2.5037148159013696,0.6148467063903809,,0.6148467063903809,0.6148467063903809
DTLZ2,island,5,0.1,5,0.0,0.0,0.0,0.0,0.7749458841286181,1.0959389794399008,0.0,1.5498917682572362,0.5408397912979126,0.13418191007976907,0.44595885276794434,0.6357207298278809
DTLZ2,island,10,0.1,5,0.0,,0.0,0.0,1.4136780277605023,,1.4136780277605023,1.4136780277605023,0.8339085578918457,,0.8339085578918457,0.8339085578918457
DTLZ2,standard,1,0.0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7957022190093994,,0.7957022190093994,0.7957022190093994
SchafferF6,drga,5,0.1,5,19.44058892178676,,19.44058892178676,19.44058892178676,0.6244685632951942,,0.6244685632951942,0.6244685632951942,0.29451966285705566,,0.29451966285705566,0.29451966285705566
SchafferF6,drga,5,0.1,10,4.291092372650911,,4.291092372650911,4.291092372650911,1.4111051520150575,,1.4111051520150575,1.4111051520150575,0.2964906692504883,,0.2964906692504883,0.2964906692504883
SchafferF6,drga,5,0.2,5,9.633915358763035,,9.633915358763035,9.633915358763035,1.1631570305377341,,1.1631570305377341,1.1631570305377341,0.30777502059936523,,0.30777502059936523,0.30777502059936523
SchafferF6,island,5,0.1,5,3.3532778313954577,0.6815143262261181,2.8713744298451886,3.8351812329457267,1.5336860582606557,0.0075517733175344045,1.5283461481378435,1.539025968383468,0.315160870552063,0.009383405765071403,0.30852580070495605,0.3217959403991699
SchafferF6,island,10,0.1,5,7.166242711895075,,7.166242711895075,7.166242711895075,1.3650287999764577,,1.3650287999764577,1.3650287999764577,0.31861019134521484,,0.31861019134521484,0.31861019134521484
SchafferF6,standard,1,0.0,0,1.609999935417722,,1.609999935417722,1.609999935417722,1.9403701996047138,,1.9403701996047138,1.9403701996047138,0.529186487197876,,0.529186487197876,0.529186487197876
ZDT1,drga,5,0.1,5,0.2247635000425696,,0.2247635000425696,0.2247635000425696,1.4356513965169129,,1.4356513965169129,1.4356513965169129,0.6945858001708984,,0.6945858001708984,0.6945858001708984
ZDT1,drga,5,0.1,10,0.17375299615925158,,0.17375299615925158,0.17375299615925158,1.4947676368468443,,1.4947676368468443,1.4947676368468443,0.6967489719390869,,0.6967489719390869,0.6967489719390869
ZDT1,drga,5,0.2,5,0.4493603857099098,,0.4493603857099098,0.4493603857099098,1.582695550283517,,1.582695550283517,1.582695550283517,0.6699368953704834,,0.6699368953704834,0.6699368953704834
ZDT1,island,5,0.1,5,0.2619978563375295,0.18570528925314878,0.1306843870044187,0.39331132567064025,1.5596747328083742,0.04051198331316732,1.5310284346883172,1.588321030928431,0.667704701423645,0.010510918256434841,0.6602723598480225,0.6751370429992676
ZDT1,island,10,0.1,5,0.27367036066527733,,0.27367036066527733,0.27367036066527733,1.5051643042652019,,1.5051643042652019,1.5051643042652019,0.7910134792327881,,0.7910134792327881,0.7910134792327881
ZDT1,standard,1,0.0,0,0.09585377760604581,,0.09585377760604581,0.09585377760604581,1.4236851373077337,,1.4236851373077337,1.4236851373077337,0.931243896484375,,0.931243896484375,0.931243896484375
ZDT2,drga,5,0.1,5,0.092583364699965,,0.092583364699965,0.092583364699965,1.469655179724953,,1.469655179724953,1.469655179724953,0.6346039772033691,,0.6346039772033691,0.6346039772033691
ZDT2,drga,5,0.1,10,0.19382527176998207,,0.19382527176998207,0.19382527176998207,1.482802870264258,,1.482802870264258,1.482802870264258,0.6204204559326172,,0.6204204559326172,0.6204204559326172
ZDT2,drga,5,0.2,5,0.021247946781085807,,0.021247946781085807,0.021247946781085807,1.632496114666759,,1.632496114666759,1.632496114666759,0.6256027221679688,,0.6256027221679688,0.6256027221679688
ZDT2,island,5,0.1,5,0.11151412143081299,0.011057208005521416,0.10369549466911862,0.11933274819250737,1.3084172954726268,0.0427904889379993,1.2781598505742795,1.338674740370974,0.6300334930419922,0.012698676868938328,0.6210541725158691,0.6390128135681152
ZDT2,island,10,0.1,5,0.23566988206153164,,0.23566988206153164,0.23566988206153164,1.1110694912476184,,1.1110694912476184,1.1110694912476184,0.6284334659576416,,0.6284334659576416,0.6284334659576416
ZDT2,standard,1,0.0,0,0.09450761106137844,,0.09450761106137844,0.09450761106137844,1.4852354423009946,,1.4852354423009946,1.4852354423009946,0.8411808013916016,,0.8411808013916016,0.8411808013916016
